"AIC";"Stability";"Predictor";"ID"
"164";618.65728281715;"Absolute distance";"Cover + Spatial 
 structure";19
"165";721.40730933252;"Absolute distance";"Spatial 
 structure";19
"166";728.126947581811;"Relative distance";"Cover";19
"167";685.844937372511;"Relative distance";"Cover + Spatial 
 structure";19
"168";787.201347182732;"Relative distance";"Spatial 
 structure";19
"169";789.895351928363;"Size tipping";"Cover";19
"170";752.294266054462;"Size tipping";"Cover + Spatial 
 structure";19
"171";771.027481534624;"Size tipping";"Spatial 
 structure";19
"172";739.197394689997;"Absolute distance";"Cover";20
"173";658.415494863512;"Absolute distance";"Cover + Spatial 
 structure";20
"174";753.009957944724;"Absolute distance";"Spatial 
 structure";20
"175";697.343873976566;"Relative distance";"Cover";20
"176";653.40608144498;"Relative distance";"Cover + Spatial 
 structure";20
"177";776.467755429616;"Relative distance";"Spatial 
 structure";20
"178";787.201366649557;"Size tipping";"Cover";20
"179";753.325240551407;"Size tipping";"Cover + Spatial 
 structure";20
"180";784.260321188044;"Size tipping";"Spatial 
 structure";20
"181";764.604200540143;"Absolute distance";"Cover";21
"182";681.788567834629;"Absolute distance";"Cover + Spatial 
 structure";21
"183";781.520850941101;"Absolute distance";"Spatial 
 structure";21
"184";700.431596507046;"Relative distance";"Cover";21
"185";632.152641944656;"Relative distance";"Cover + Spatial 
 structure";21
"186";757.58070546622;"Relative distance";"Spatial 
 structure";21
"187";810.625293678442;"Size tipping";"Cover";21
"188";780.147807406872;"Size tipping";"Cover + Spatial 
 structure";21
"189";791.845223554109;"Size tipping";"Spatial 
 structure";21
"190";748.109645459668;"Absolute distance";"Cover";22
"191";633.903516604602;"Absolute distance";"Cover + Spatial 
 structure";22
"192";753.256716679379;"Absolute distance";"Spatial 
 structure";22
"193";701.874228501148;"Relative distance";"Cover";22
"194";636.719750337051;"Relative distance";"Cover + Spatial 
 structure";22
"195";769.288586798854;"Relative distance";"Spatial 
 structure";22
"196";772.883659156855;"Size tipping";"Cover";22
"197";737.16466319849;"Size tipping";"Cover + Spatial 
 structure";22
"198";754.285190884306;"Size tipping";"Spatial 
 structure";22
"199";744.058192894984;"Absolute distance";"Cover";23
"200";688.68486942946;"Absolute distance";"Cover + Spatial 
 structure";23
"201";785.399728619187;"Absolute distance";"Spatial 
 structure";23
"202";718.699232624948;"Relative distance";"Cover";23
"203";666.113169982153;"Relative distance";"Cover + Spatial 
 structure";23
"204";790.947685829551;"Relative distance";"Spatial 
 structure";23
"205";782.04726683947;"Size tipping";"Cover";23
"206";755.530282210448;"Size tipping";"Cover + Spatial 
 structure";23
"207";787.14010548813;"Size tipping";"Spatial 
 structure";23
"208";701.446960458581;"Absolute distance";"Cover";24
"209";598.658841988468;"Absolute distance";"Cover + Spatial 
 structure";24
"210";705.955747662156;"Absolute distance";"Spatial 
 structure";24
"211";683.393292309722;"Relative distance";"Cover";24
"212";616.950111098894;"Relative distance";"Cover + Spatial 
 structure";24
"213";757.31934480481;"Relative distance";"Spatial 
 structure";24
"214";773.058044117333;"Size tipping";"Cover";24
"215";743.399316253622;"Size tipping";"Cover + Spatial 
 structure";24
"216";779.490293801867;"Size tipping";"Spatial 
 structure";24
"217";702.672890812762;"Absolute distance";"Cover";25
"218";616.676544032204;"Absolute distance";"Cover + Spatial 
 structure";25
"219";720.618403318946;"Absolute distance";"Spatial 
 structure";25
"220";699.164028275427;"Relative distance";"Cover";25
"221";634.823231757208;"Relative distance";"Cover + Spatial 
 structure";25
"222";783.62291713721;"Relative distance";"Spatial 
 structure";25
"223";798.351528959025;"Size tipping";"Cover";25
"224";748.259475425951;"Size tipping";"Cover + Spatial 
 structure";25
"225";764.010376738117;"Size tipping";"Spatial 
 structure";25
"226";735.102823866693;"Absolute distance";"Cover";26
"227";677.294773437292;"Absolute distance";"Cover + Spatial 
 structure";26
"228";767.926933237998;"Absolute distance";"Spatial 
 structure";26
"229";715.971149782821;"Relative distance";"Cover";26
"230";643.994662341603;"Relative distance";"Cover + Spatial 
 structure";26
"231";787.719893148896;"Relative distance";"Spatial 
 structure";26
"232";767.82711973532;"Size tipping";"Cover";26
"233";730.279454536521;"Size tipping";"Cover + Spatial 
 structure";26
"234";757.724569193448;"Size tipping";"Spatial 
 structure";26
"235";736.304259466728;"Absolute distance";"Cover";27
"236";644.924654980898;"Absolute distance";"Cover + Spatial 
 structure";27
"237";763.212434258572;"Absolute distance";"Spatial 
 structure";27
"238";679.096552242367;"Relative distance";"Cover";27
"239";594.129139273705;"Relative distance";"Cover + Spatial 
 structure";27
"240";751.8287926989;"Relative distance";"Spatial 
 structure";27
"241";790.6205205126;"Size tipping";"Cover";27
"242";745.902635421634;"Size tipping";"Cover + Spatial 
 structure";27
"243";762.792349139511;"Size tipping";"Spatial 
 structure";27
"244";730.364161050088;"Absolute distance";"Cover";28
"245";675.779899843553;"Absolute distance";"Cover + Spatial 
 structure";28
"246";753.514896537888;"Absolute distance";"Spatial 
 structure";28
"247";705.635343416007;"Relative distance";"Cover";28
"248";655.505803751047;"Relative distance";"Cover + Spatial 
 structure";28
"249";757.227709846505;"Relative distance";"Spatial 
 structure";28
"250";807.916987031053;"Size tipping";"Cover";28
"251";783.948533249689;"Size tipping";"Cover + Spatial 
 structure";28
"252";796.517255916309;"Size tipping";"Spatial 
 structure";28
"253";742.713863517674;"Absolute distance";"Cover";29
"254";674.158667066579;"Absolute distance";"Cover + Spatial 
 structure";29
"255";759.268610833743;"Absolute distance";"Spatial 
 structure";29
"256";689.394299927069;"Relative distance";"Cover";29
"257";646.208830912556;"Relative distance";"Cover + Spatial 
 structure";29
"258";732.312798650363;"Relative distance";"Spatial 
 structure";29
"259";811.283701391276;"Size tipping";"Cover";29
"260";778.894950314174;"Size tipping";"Cover + Spatial 
 structure";29
"261";790.123770803635;"Size tipping";"Spatial 
 structure";29
"262";752.811051887427;"Absolute distance";"Cover";30
"263";683.702142968153;"Absolute distance";"Cover + Spatial 
 structure";30
"264";768.965634658298;"Absolute distance";"Spatial 
 structure";30
"265";652.484752686464;"Relative distance";"Cover";30
"266";578.660019389039;"Relative distance";"Cover + Spatial 
 structure";30
"267";713.89050831302;"Relative distance";"Spatial 
 structure";30
"268";791.267120911063;"Size tipping";"Cover";30
"269";738.084567711036;"Size tipping";"Cover + Spatial 
 structure";30
"270";762.645036100087;"Size tipping";"Spatial 
 structure";30
"271";746.102969887153;"Absolute distance";"Cover";31
"272";667.432342495112;"Absolute distance";"Cover + Spatial 
 structure";31
"273";741.754916719669;"Absolute distance";"Spatial 
 structure";31
"274";691.349257234621;"Relative distance";"Cover";31
"275";630.257364909376;"Relative distance";"Cover + Spatial 
 structure";31
"276";765.381309178729;"Relative distance";"Spatial 
 structure";31
"277";768.944247689511;"Size tipping";"Cover";31
"278";730.484622502488;"Size tipping";"Cover + Spatial 
 structure";31
"279";770.920040291609;"Size tipping";"Spatial 
 structure";31
"280";758.850828768907;"Absolute distance";"Cover";32
"281";677.050140973883;"Absolute distance";"Cover + Spatial 
 structure";32
"282";795.258135196203;"Absolute distance";"Spatial 
 structure";32
"283";682.203797415453;"Relative distance";"Cover";32
"284";604.790268699526;"Relative distance";"Cover + Spatial 
 structure";32
"285";734.015059377868;"Relative distance";"Spatial 
 structure";32
"286";787.296093647639;"Size tipping";"Cover";32
"287";769.53697992261;"Size tipping";"Cover + Spatial 
 structure";32
"288";779.965504640311;"Size tipping";"Spatial 
 structure";32
"289";735.675881675275;"Absolute distance";"Cover";33
"290";623.09328094693;"Absolute distance";"Cover + Spatial 
 structure";33
"291";743.600791657964;"Absolute distance";"Spatial 
 structure";33
"292";664.984482931012;"Relative distance";"Cover";33
"293";594.635754220655;"Relative distance";"Cover + Spatial 
 structure";33
"294";751.731327132442;"Relative distance";"Spatial 
 structure";33
"295";782.886375247161;"Size tipping";"Cover";33
"296";762.05285448266;"Size tipping";"Cover + Spatial 
 structure";33
"297";797.505174396306;"Size tipping";"Spatial 
 structure";33
"298";740.25862078047;"Absolute distance";"Cover";34
"299";645.314667435267;"Absolute distance";"Cover + Spatial 
 structure";34
"300";746.805328355762;"Absolute distance";"Spatial 
 structure";34
"301";637.412752428615;"Relative distance";"Cover";34
"302";563.618420811694;"Relative distance";"Cover + Spatial 
 structure";34
"303";708.638559335005;"Relative distance";"Spatial 
 structure";34
"304";797.335409002726;"Size tipping";"Cover";34
"305";756.478948664687;"Size tipping";"Cover + Spatial 
 structure";34
"306";771.152646671422;"Size tipping";"Spatial 
 structure";34
"307";758.991346093816;"Absolute distance";"Cover";35
"308";669.408742319076;"Absolute distance";"Cover + Spatial 
 structure";35
"309";749.914495620452;"Absolute distance";"Spatial 
 structure";35
"310";701.945808111092;"Relative distance";"Cover";35
"311";609.867223107072;"Relative distance";"Cover + Spatial 
 structure";35
"312";741.091740026569;"Relative distance";"Spatial 
 structure";35
"313";791.927587165262;"Size tipping";"Cover";35
"314";765.340551598049;"Size tipping";"Cover + Spatial 
 structure";35
"315";784.958319998461;"Size tipping";"Spatial 
 structure";35
"316";741.303744756328;"Absolute distance";"Cover";36
"317";640.051276491162;"Absolute distance";"Cover + Spatial 
 structure";36
