"ID_sim";"pcrit";"pinfer";"qinfer";"Size_tipping";"Site";"aridity";"Sand";"MF"
"93";93;0.47;0.476929357428055;0.707302075266207;0.0703125;1;0.7822;2.859250805;-0.22244871
"94";94;0.454694087935257;0.459694087935257;0.737489380943264;0.10321875;1;0.7822;2.859250805;-0.22244871
"95";95;0.484419994238926;0.489419994238926;0.681348448184204;0.07065625;1;0.7822;2.859250805;-0.22244871
"96";96;0.4;0.406183442083663;0.824939315494085;0.07055;1;0.7822;2.859250805;-0.22244871
"97";97;0.479376924280159;0.484376924280159;0.694513613683962;0.13269375;1;0.7822;2.859250805;-0.22244871
"98";98;0.53;0.538287768863578;0.586952410186675;0.11089375;1;0.7822;2.859250805;-0.22244871
"99";99;0.49;0.496739000544659;0.665907593283444;0.02826875;1;0.7822;2.859250805;-0.22244871
"100";100;0.47;0.476132364026154;0.709008323675803;0.019;1;0.7822;2.859250805;-0.22244871
"101";1;0.334981114934093;0.339981114934093;0.907553799055493;0.30215;10;0.7716;2.784452477;0.709906931
"102";2;0.365;0.371804528515468;0.873452797328748;0.15785;10;0.7716;2.784452477;0.709906931
"103";3;0.305892674754775;0.310892674754775;0.933133320742103;0.06908125;10;0.7716;2.784452477;0.709906931
"104";4;0.377538715110331;0.382538715110331;0.859295650320109;0.21255;10;0.7716;2.784452477;0.709906931
"105";5;0.351548050086517;0.356548050086517;0.888804668633769;0.24381875;10;0.7716;2.784452477;0.709906931
"106";6;0.305892674754775;0.310892674754775;0.933133320742103;0.0694625;10;0.7716;2.784452477;0.709906931
"107";7;0.258649082107502;0.263649082107502;0.967546475396605;0.736025;10;0.7716;2.784452477;0.709906931
"108";8;0.324905421408461;0.329905421408461;0.916811022003037;0.3763;10;0.7716;2.784452477;0.709906931
"109";9;0.377536328070447;0.382536328070447;0.861172637227826;0.28276875;10;0.7716;2.784452477;0.709906931
"110";10;0.363428365027147;0.368428365027147;0.875831687958914;0.2125875;10;0.7716;2.784452477;0.709906931
"111";11;NA;0.308065554454116;0.935472998005636;NA;10;0.7716;2.784452477;0.709906931
"112";12;0.354611185198564;0.359611185198564;0.886219858398263;0.26083125;10;0.7716;2.784452477;0.709906931
"113";13;0.324905421408461;0.329905421408461;0.916811022003037;0.25774375;10;0.7716;2.784452477;0.709906931
"114";14;0.363428365027147;0.368428365027147;0.875831687958914;0.24315;10;0.7716;2.784452477;0.709906931
"115";15;NA;0.308065554454116;0.935472998005636;NA;10;0.7716;2.784452477;0.709906931
"116";16;0.36;0.36754335670119;0.879115172225908;0.2212375;10;0.7716;2.784452477;0.709906931
"117";17;0.363428365027147;0.368428365027147;0.875831687958914;0.13004375;10;0.7716;2.784452477;0.709906931
"118";18;NA;0.310892674754775;0.933133320742103;NA;10;0.7716;2.784452477;0.709906931
"119";19;0.365;0.37257484801385;0.870159063446063;0.1018125;10;0.7716;2.784452477;0.709906931
