"Cover";"p";"q";"Cover_bis";"Branch"
"63";7.1852765717005e-72;0.311557788944724;0;NA;"forward"
"64";2.9310681949495e-70;0.316582914572864;0;NA;"forward"
"65";1.23100408083346e-68;0.321608040201005;0;NA;"forward"
"66";5.32118625209274e-67;0.326633165829146;0;NA;"forward"
"67";2.36590276965251e-65;0.331658291457286;0;NA;"forward"
"68";1.03977731619876e-63;0.336683417085427;0;NA;"forward"
"69";4.93992944347086e-62;0.341708542713568;0;NA;"forward"
"70";2.42482240709133e-60;0.346733668341709;0;NA;"forward"
"71";1.18185547790747e-58;0.351758793969849;0;NA;"forward"
"72";6.21548104414453e-57;0.35678391959799;0;NA;"forward"
"73";3.24003587890409e-55;0.361809045226131;0;NA;"forward"
"74";1.74982819677867e-53;0.366834170854271;0;NA;"forward"
"75";9.78106598933952e-52;0.371859296482412;0;NA;"forward"
"76";5.6846149188087e-50;0.376884422110553;0;NA;"forward"
"77";3.3216656779322e-48;0.381909547738693;0;NA;"forward"
"78";2.066197456256e-46;0.386934673366834;0;NA;"forward"
"79";1.30148018191646e-44;0.391959798994975;0;NA;"forward"
"80";8.51921759358402e-43;0.396984924623116;0;NA;"forward"
"81";5.80261437151884e-41;0.402010050251256;0;NA;"forward"
"82";4.02744323269226e-39;0.407035175879397;0;NA;"forward"
"83";2.99824869721099e-37;0.412060301507538;0;NA;"forward"
"84";2.16265000576508e-35;0.417085427135678;0;NA;"forward"
"85";1.67468961935702e-33;0.422110552763819;0;NA;"forward"
"86";1.3346419066862e-31;0.42713567839196;0;NA;"forward"
"87";1.10004330591601e-29;0.4321608040201;0;NA;"forward"
"88";9.3939283523738e-28;0.437185929648241;0;NA;"forward"
"89";8.31368006660465e-26;0.442211055276382;0;NA;"forward"
"90";7.3128490076214e-24;0.447236180904523;0;NA;"forward"
"91";7.16385761596542e-22;0.452261306532663;0;NA;"forward"
"92";6.97000423140319e-20;0.457286432160804;0;NA;"forward"
"93";6.98257571622499e-18;0.462311557788945;0;NA;"forward"
"94";7.17483313540409e-16;0.467336683417085;0;NA;"forward"
"95";7.52342310967951e-14;0.472361809045226;0;NA;"forward"
"96";7.97830402294403e-12;0.477386934673367;0;NA;"forward"
"97";8.4194973071293e-10;0.482412060301508;0;NA;"forward"
"98";8.57529494074426e-08;0.487437185929648;0;NA;"forward"
