"Site_ID";"RCP";"mean_trend"
"206";103;"rcp85";0.00138445529133451
"207";104;"rcp45";0.000807274279430955
"208";104;"rcp85";0.00138445529133451
"209";105;"rcp45";0.000807274279430955
"210";105;"rcp85";0.00138445529133451
"211";106;"rcp45";0.000807284355138544
"212";106;"rcp85";0.00138444717567494
"213";107;"rcp45";0.000807284355138544
"214";107;"rcp85";0.00138444717567494
"215";108;"rcp45";0.000807284355138544
"216";108;"rcp85";0.00138444717567494
"217";109;"rcp45";0.000803605398607684
"218";109;"rcp85";0.00136573375215421
"219";110;"rcp45";0.000803605398607684
"220";110;"rcp85";0.00136573375215421
"221";111;"rcp45";0.000803605398607684
"222";111;"rcp85";0.00136573375215421
"223";112;"rcp45";0.000742694463234627
"224";112;"rcp85";0.00125177348482352
"225";113;"rcp45";0.000742694463234627
"226";113;"rcp85";0.00125177348482352
"227";114;"rcp45";0.000742620620143787
"228";114;"rcp85";0.00125170599243374
"229";115;"rcp45";0.000742620620143787
"230";115;"rcp85";0.00125170599243374
"231";116;"rcp45";0.000661108386172041
"232";116;"rcp85";0.0010861628586563
"233";117;"rcp45";0.000661108386172041
"234";117;"rcp85";0.0010861628586563
"235";118;"rcp45";0.000660743770076155
"236";118;"rcp85";0.00108553209925111
"237";119;"rcp45";0.000660743770076155
"238";119;"rcp85";0.00108553209925111
"239";120;"rcp45";0.000660743770076155
"240";120;"rcp85";0.00108553209925111
"241";121;"rcp45";0.000275936503560777
"242";121;"rcp85";0.00045163283450162
"243";122;"rcp45";0.000275936503560777
"244";122;"rcp85";0.00045163283450162
"245";123;"rcp45";0.000275936503560777
"246";123;"rcp85";0.00045163283450162
"247";124;"rcp45";0.000706930516382426
"248";124;"rcp85";0.00117184345199966
"249";125;"rcp45";0.000706930516382426
"250";125;"rcp85";0.00117184345199966
"251";126;"rcp45";0.000706930516382426
"252";126;"rcp85";0.00117184345199966
"253";127;"rcp45";0.000801937722706101
"254";127;"rcp85";0.00134574789687963
"255";128;"rcp45";0.000801937722706101
"256";128;"rcp85";0.00134574789687963
"257";129;"rcp45";0.000801937722706101
"258";129;"rcp85";0.00134574789687963
"259";130;"rcp45";0.000619787005891076
"260";130;"rcp85";0.00100816631196176
"261";131;"rcp45";0.000619787005891076
"262";131;"rcp85";0.00100816631196176
"263";132;"rcp45";0.000619787005891076
"264";132;"rcp85";0.00100816631196176
"265";133;"rcp45";0.000733773489910875
"266";133;"rcp85";0.00123089626054701
"267";134;"rcp45";0.000733773489910875
"268";134;"rcp85";0.00123089626054701
"269";135;"rcp45";0.000733773489910875
"270";135;"rcp85";0.00123089626054701
"271";136;"rcp45";0.00073057715501095
"272";136;"rcp85";0.00124218024970464
"273";137;"rcp45";0.00073057715501095
"274";137;"rcp85";0.00124218024970464
"275";138;"rcp45";0.000677909518407536
"276";138;"rcp85";0.00111273182018929
"277";139;"rcp45";0.000677909518407536
"278";139;"rcp85";0.00111273182018929
"279";140;"rcp45";0.000677909518407536
"280";140;"rcp85";0.00111273182018929
"281";141;"rcp45";0.000687629980724489
"282";141;"rcp85";0.00113112485043917
"283";142;"rcp45";0.000687629980724489
"284";142;"rcp85";0.00113112485043917
"285";143;"rcp45";0.000687629980724489
"286";143;"rcp85";0.00113112485043917
"287";144;"rcp45";0.000825357447218201
"288";144;"rcp85";0.00138676979052905
"289";145;"rcp45";0.000825357447218201
"290";145;"rcp85";0.00138676979052905
"291";146;"rcp45";0.00013157385802495
"292";146;"rcp85";0.000221714581879673
"293";147;"rcp45";0.00013157385802495
"294";147;"rcp85";0.000221714581879673
"295";148;"rcp45";0.00013157385802495
"296";148;"rcp85";0.000221714581879673
"297";149;"rcp45";0.000675325477399533
"298";149;"rcp85";0.00110512313308424
"299";150;"rcp45";0.000675325477399533
"300";150;"rcp85";0.00110512313308424
"301";151;"rcp45";0.000675325477399533
"302";151;"rcp85";0.00110512313308424
"303";152;"rcp45";0.000687783001226618
"304";152;"rcp85";0.00112958694826143
"305";153;"rcp45";0.000687783001226618
"306";153;"rcp85";0.00112958694826143
"307";154;"rcp45";0.000636735199015664
"308";154;"rcp85";0.00103802145476469
"309";155;"rcp45";0.000636735199015664
"310";155;"rcp85";0.00103802145476469
"311";156;"rcp45";0.000822981733887717
"312";156;"rcp85";0.00141068817741015
"313";157;"rcp45";0.000822981733887717
"314";157;"rcp85";0.00141068817741015
"315";158;"rcp45";0.000822981733887717
"316";158;"rcp85";0.00141068817741015
"317";159;"rcp45";0.000670213640810568
"318";159;"rcp85";0.00109058258900643
"319";160;"rcp45";0.000670213640810568
"320";160;"rcp85";0.00109058258900643
"321";161;"rcp45";0.000766905478992867
"322";161;"rcp85";0.00125664887411583
"323";162;"rcp45";0.000766905478992867
"324";162;"rcp85";0.00125664887411583
"325";163;"rcp45";0.000766905478992867
"326";163;"rcp85";0.00125664887411583
"327";164;"rcp45";0.000678830685653882
"328";164;"rcp85";0.00111356274975518
"329";165;"rcp45";0.000678830685653882
"330";165;"rcp85";0.00111356274975518
"331";166;"rcp45";0.000678830685653882
"332";166;"rcp85";0.00111356274975518
"333";167;"rcp45";0.000738542578590717
"334";167;"rcp85";0.00124023510447372
"335";168;"rcp45";0.000738542578590717
"336";168;"rcp85";0.00124023510447372
"337";169;"rcp45";0.000738542578590717
"338";169;"rcp85";0.00124023510447372
"339";170;"rcp45";0.000648478903577434
"340";170;"rcp85";0.00106692510520342
"341";171;"rcp45";0.000648478903577434
"342";171;"rcp85";0.00106692510520342
"343";172;"rcp45";0.000648478903577434
"344";172;"rcp85";0.00106692510520342
"345";173;"rcp45";0.000728732972804237
"346";173;"rcp85";0.00124603814666789
"347";174;"rcp45";0.000728732972804237
"348";174;"rcp85";0.00124603814666789
"349";175;"rcp45";0.000728732972804237
"350";175;"rcp85";0.00124603814666789
"351";176;"rcp45";0.000204957374422577
"352";176;"rcp85";0.000348176009726783
"353";177;"rcp45";0.000204957374422577
"354";177;"rcp85";0.000348176009726783
"355";178;"rcp45";0.000733443199388982
"356";178;"rcp85";0.00124234208716258
"357";179;"rcp45";0.000733443199388982
"358";179;"rcp85";0.00124234208716258
"359";180;"rcp45";0.000733443199388982
"360";180;"rcp85";0.00124234208716258
"361";181;"rcp45";0.000813959789203848
"362";181;"rcp85";0.00139533574036624
"363";182;"rcp45";0.000813959789203848
"364";182;"rcp85";0.00139533574036624
"365";183;"rcp45";0.000813959789203848
"366";183;"rcp85";0.00139533574036624
