"rho_p";"nb_neigh";"clustering";"skewness";"variance";"moran_I";"Spectral_ratio";"PLR";"PL_expo";"cv_psd";"fmax_psd";"Site_ID";"Method";"Type"
"114";0.377285185185185;2.01973999457605;1.67822402540125;0.0808029020179459;0.0275874279345901;0.0870365960762691;1.08652180592228;0.569736178212092;1.04019823152803;1.77312246384409;-4.28783242991158;15;"rejection";"Sim"
"161";0.334888;1.83910126310358;1.70363246164996;0.203809793826471;0.0275157203525641;0.0965888394142365;1.20500889260678;0.612387876037744;1.27707486175382;1.60772567822574;-4.87366552799669;16;"rejection";"Obs"
"115";0.35977037037037;1.98782311887128;1.71018614350779;0.119004602068255;0.028007263420662;0.0945474726837454;1.15572562874556;0.624794549356031;0.970755326470162;1.6617610351002;-4.47429864575976;16;"rejection";"Sim"
"171";0.380356;1.94927069044363;1.6343679066221;0.10270795801641;0.0274563990384615;0.0834660796046969;1.09213150794815;0.648560381128187;1.3069564110545;1.84138370710677;-4.4900345446849;17;"rejection";"Obs"
"116";0.391998765432099;2.03550393772494;1.64754228864182;0.045007859037937;0.0264049115564524;0.0780285422929508;0.985718463547538;0.663729305776642;1.17780859662359;1.80712278254629;-4.23800556626265;17;"rejection";"Sim"
"181";0.40094;1.99900446671418;1.60669556834762;0.075728932582551;0.0273030144230769;0.0598195725284897;1.00390775992801;0.701850187669999;1.33928251470627;1.91364195123904;-4.3615158972054;18;"rejection";"Obs"
"117";0.407927160493827;2.07028274561354;1.62467552224478;0.0321894964825187;0.0259566562852908;0.0627744822946496;0.911548494212467;0.706313279562931;1.29627656500104;1.83897020477492;-4.17103830528441;18;"rejection";"Sim"
"191";0.374524;1.9363008732385;1.64306611114885;0.139602644879689;0.0274919935897436;0.0822909591976765;1.09769732567428;0.623732594255572;1.33113533636722;1.82151403730417;-4.5194819073194;19;"rejection";"Obs"
"118";0.386379012345679;2.02477108368542;1.65690401157962;0.0674976678703186;0.0265242133293872;0.077644950853145;0.9976067959462;0.634517228668498;1.16856106838653;1.7706809881761;-4.28712115301054;19;"rejection";"Sim"
"20";0.419096;2.0537194534835;1.58944350891706;0.0164282526579951;0.0271802900641026;0.0780638407037047;1.01528935838775;0.768890465817744;1.39109778117952;2.08855360072971;-4.10486745643239;20;"rejection";"Obs"
"119";0.427976543209877;2.14485601842951;1.61219423603267;-0.0153438607718718;0.0261285817818751;0.0615364321007228;0.91932367597385;0.781511308112249;1.50671247134771;1.85867425075439;-3.96291844278978;20;"rejection";"Sim"
"21";0.433988;2.08765898762484;1.57091936225771;0.00793964750473869;0.0266121883012821;0.0603411864420885;0.917587445140693;0.819639854585509;1.4028844147846;2.23599983920148;-4.02041130579855;21;"rejection";"Obs"
"120";0.436548148148148;2.16358163003478;1.60128200719781;-0.03608840094594;0.0258668646025829;0.049146279584077;0.869057493995813;0.828730408621066;1.51040655415176;1.89119822657965;-3.97332763402829;21;"rejection";"Sim"
"22";0.41278;2.03600589719061;1.59594325472374;0.0370661500266518;0.0273346979166667;0.0735741018410519;1.04126963226274;0.824626167983585;1.39675912022697;2.00958903068302;-4.2918798829029;22;"rejection";"Obs"
"122";0.41659012345679;2.10679807287561;1.62139608869823;-0.00459825186648835;0.0258410162666508;0.0532583268286729;0.901579559669211;0.85393018652959;1.5260570797378;1.74674852732606;-4.19949461486762;22;"rejection";"Sim"
"23";0.452852;2.13538519286942;1.55094163912743;-0.0344185683620251;0.0260714791666667;0.0559705064523766;0.885728404742047;0.795530828070227;1.45288827154014;2.44245596584069;-3.75117076211502;23;"rejection";"Obs"
"123";0.460427160493827;2.22507522352484;1.57573731332469;-0.0693871473934609;0.0257607245253923;0.0499268697716665;0.831325335892372;0.772729096630482;1.50402358277757;2.23096424394123;-3.50776432403479;23;"rejection";"Sim"
"24";0.465168;2.16879217821645;1.53959852714345;-0.0671016364988012;0.0263513245192308;0.0588764723287388;0.888915323698676;0.936992223807472;1.46871685149616;2.68438023890302;-3.54826172416162;24;"rejection";"Obs"
"124";0.471379012345679;2.23190538631109;1.55515377221941;-0.0882827049521734;0.0244721683280076;0.0458376954143054;0.742991705352189;0.881688207841524;1.51521635439684;2.5662080890523;-3.14044180838965;24;"rejection";"Sim"
"25";0.44194;2.10733006022938;1.5621172510816;-0.0178089893963841;0.026343922275641;0.0674000074324588;0.930318342236312;0.870697563450929;1.42633803371463;2.26962194359686;-3.92061480596819;25;"rejection";"Obs"
"125";0.453669135802469;2.20930158249858;1.58328986143564;-0.0711065813381044;0.0257031189845234;0.0506454523047473;0.836289728180033;0.869314634692418;1.49937656418494;2.03188107797355;-3.68974654995529;25;"rejection";"Sim"
"26";0.47986;2.21079678140139;1.52769330286852;-0.0536776786876851;0.0257210633012821;0.048062996738223;0.840590583841479;0.957418758599605;1.51457385586967;2.86896945094344;-3.36319608320075;26;"rejection";"Obs"
"126";0.484227160493827;2.25494687662649;1.538477169788;-0.0790557040939357;0.0235945659325646;0.0413894872306267;0.670739186998722;0.887063350215299;1.52461025731353;2.80282243021114;-2.98606634991968;26;"rejection";"Sim"
"27";0.49546;2.25629363659371;1.51608426228616;-0.0869801321147303;0.0252465560897436;0.0575233165422048;0.830644111783913;0.913639815503691;1.59300528065657;3.27417757807573;-3.06758834033151;27;"rejection";"Obs"
"127";0.498946913580247;2.28973586026716;1.5238489351648;-0.10308198823798;0.0234013665358234;0.049395986397906;0.663532414428733;0.888727633208357;1.54837483029775;3.26151442229217;-2.76994899788503;27;"rejection";"Sim"
"28";0.473824;2.19667785436027;1.53391754133151;-0.0903709284936434;0.0261311161858974;0.0602787136497742;0.881233009954232;0.884629397978571;1.48946729996055;2.82874189401948;-3.41668440095901;28;"rejection";"Obs"
"128";0.47719012345679;2.25373203559808;1.55252135960935;-0.10347111292682;0.0246854321799125;0.0516344919017762;0.758674913784552;0.88115676999095;1.51023136730993;2.5956530610733;-3.16556989364806;28;"rejection";"Sim"
"29";0.504592;2.27907940198398;1.5078405626814;-0.105782271689232;0.0247634567307692;0.0484844889967027;0.797360067602566;0.944720794608314;1.62835962442374;3.49112970517734;-2.95457171418993;29;"rejection";"Obs"
"129";0.504867901234568;2.30706951220276;1.5195762605238;-0.119981544801402;0.0231416874334287;0.048364133492607;0.666215822017071;0.892007969144764;1.55440353279828;3.49507147750724;-2.6497329763131;29;"rejection";"Sim"
"30";0.516224;2.30920075837348;1.49820075222264;-0.115064342307858;0.0240261282051282;0.0504925304672467;0.73830862094693;0.962807803565709;1.63506900621156;3.8420924780263;-2.75198052965048;30;"rejection";"Obs"
"130";0.516611111111111;2.33033829085319;1.50654309670747;-0.121728714865751;0.0223799066906002;0.0435305489768953;0.588555988765815;0.905866659816925;1.55681558572349;3.77523216708649;-2.46764224482619;30;"rejection";"Sim"
"31";0.499412;2.26613519938464;1.51244607726994;-0.103335808142402;0.0251363693910256;0.049495253366094;0.816814526025145;0.97016645230171;1.62606558968592;3.54439906311066;-2.93189109499655;31;"rejection";"Obs"
"132";0.504356790123457;2.30522911304203;1.51984305544264;-0.115313676198483;0.0231891395181523;0.0442618133657416;0.647420122762939;0.902411718982548;1.55080511439669;3.4819587564048;-2.62798003235658;31;"rejection";"Sim"
"32";0.530076;2.35429828061878;1.49101715224255;-0.119620757010194;0.024199530448718;0.0490981857147803;0.76373327747344;0.982599761535922;1.65023425330544;4.38435998677101;-2.48971735265992;32;"rejection";"Obs"
"133";0.545849382716049;2.43323338938536;1.49487247607042;-0.159281568704029;0.0221443986087406;0.0268242145708934;0.563837723555067;0.997989907821961;1.55492204037618;3.89302324103602;-2.25518873670633;32;"rejection";"Sim"
"33";0.54006;2.3822865293604;1.48414687357221;-0.158674244545583;0.0237797467948718;0.049624267143821;0.739692416286463;0.971561966982675;1.66849979905927;5.15644248668941;-2.17922037550219;33;"rejection";"Obs"
"134";0.552412345679012;2.44634362235312;1.4882271372313;-0.170556061527742;0.0217303221060478;0.0294163562087154;0.541716661685683;0.997127905191454;1.5788201036698;4.53349500165553;-1.97472825011025;33;"rejection";"Sim"
"34";0.523044;2.33373543498437;1.49561745214312;-0.141194885053878;0.0242515096153846;0.0399359605601423;0.750704228281374;0.962113795734462;1.64603118438311;4.35176132442711;-2.49948295990217;34;"rejection";"Obs"
"135";0.525406172839506;2.36298612742063;1.50361770594948;-0.144199800796373;0.0224986697441845;0.0371284403219104;0.602747266518673;0.916556869980946;1.56796865446658;4.30153485849692;-2.2208816471406;34;"rejection";"Sim"
"35";0.549856;2.41074168913088;1.47805792182546;-0.184284021697127;0.0229970913461538;0.0488984316620793;0.700151092036793;0.992454090774395;1.68295856079104;6.19124415487572;-1.86655170716799;35;"rejection";"Obs"
"136";0.566069135802469;2.4900000690096;1.48138869826236;-0.189562230247026;0.0216003498801717;0.0304461183568338;0.540419936349003;1;1.62706691934215;5.6255710052709;-1.56407286906102;35;"rejection";"Sim"
"36";0.560692;2.4358482612883;1.46892309675261;-0.174709456325221;0.0221914799679487;0.0412819119722587;0.635221475523824;0.986388273148756;1.69452942023492;7.05797675175503;-1.61402505392712;36;"rejection";"Obs"
"137";0.571849382716049;2.49975748142887;1.47513100845411;-0.196868194633988;0.0209333215831023;0.0306620538274898;0.509596772731931;1;1.64416549049263;6.45505203656889;-1.33403852724092;36;"rejection";"Sim"
"37";0.539756;2.38096605933596;1.48418196879007;-0.17734725946332;0.0237591634615385;0.0346370776039635;0.682370628919377;0.971109663665916;1.66123090207782;5.18300516712812;-2.16828474622452;37;"rejection";"Obs"
"138";0.552441975308642;2.44086011591272;1.48593107536451;-0.17739885734773;0.0214269753221087;0.0236455316889315;0.506485089388308;0.996164922149601;1.57888334379664;4.57565148582892;-1.95805879379231;37;"rejection";"Sim"
"38";0.567216;2.45901863215375;1.46682500587955;-0.205434973278941;0.0223411538461538;0.0410965174200446;0.637001983319394;0.989248918920204;1.72285699037596;7.99434456895258;-1.43454415339679;38;"rejection";"Obs"
"139";0.56949012345679;2.48831098124984;1.47464342407437;-0.201506285429859;0.0210170399737779;0.0364054651340242;0.507064909871368;0.930494181864453;1.66931773619488;7.26805018605299;-1.21088802345201;38;"rejection";"Sim"
