"p";"q";"Pooling";"Site_ID";"Method";"Type";"Scale_obs"
"179";0.440662155532488;0.8765497496136;1;16;"Rejection";"Sim";1
"2011561";0.436183362898214;0.877065714720886;1;16;"Rejection";"Obs";1
"180";0.467443212927236;0.897752127702782;5;17;"Rejection";"Sim";5
"2774130";0.503474263272559;0.881176094631417;5;17;"Rejection";"Obs";5
"181";0.464714949992307;0.898881061091959;4;17;"Rejection";"Sim";4
"2774129";0.503474263272559;0.881176094631417;4;17;"Rejection";"Obs";4
"182";0.462181453980932;0.901659331864059;3;17;"Rejection";"Sim";3
"2774128";0.503474263272559;0.881176094631417;3;17;"Rejection";"Obs";3
"183";0.464679772750146;0.900201113483395;2;17;"Rejection";"Sim";2
"2774127";0.503474263272559;0.881176094631417;2;17;"Rejection";"Obs";2
"184";0.47705751174397;0.894265128889981;1;17;"Rejection";"Sim";1
"2774126";0.503474263272559;0.881176094631417;1;17;"Rejection";"Obs";1
"185";0.758697320605513;0.406301785391205;5;18;"Rejection";"Sim";5
"2006025";0.775112780548076;0.392495655430358;5;18;"Rejection";"Obs";5
"186";0.761103876005777;0.4034554063832;4;18;"Rejection";"Sim";4
"2006024";0.775112780548076;0.392495655430358;4;18;"Rejection";"Obs";4
"187";0.748360404902174;0.421764561969989;3;18;"Rejection";"Sim";3
"2006023";0.775112780548076;0.392495655430358;3;18;"Rejection";"Obs";3
"188";0.733622748111145;0.43934798306399;2;18;"Rejection";"Sim";2
"2006022";0.775112780548076;0.392495655430358;2;18;"Rejection";"Obs";2
"189";0.762942100833659;0.40278359234551;1;18;"Rejection";"Sim";1
"2006021";0.775112780548076;0.392495655430358;1;18;"Rejection";"Obs";1
"190";0.88988020691557;0.178580799859831;5;19;"Rejection";"Sim";5
"1885245";0.929419788462138;0.111952660985109;5;19;"Rejection";"Obs";5
"191";0.895396669187367;0.170266227031111;4;19;"Rejection";"Sim";4
"1885244";0.929419788462138;0.111952660985109;4;19;"Rejection";"Obs";4
"192";0.895081668951213;0.169808329860497;3;19;"Rejection";"Sim";3
"1885243";0.929419788462138;0.111952660985109;3;19;"Rejection";"Obs";3
"193";0.890825056510649;0.175314763687808;2;19;"Rejection";"Sim";2
"1885242";0.929419788462138;0.111952660985109;2;19;"Rejection";"Obs";2
"194";0.924157188247698;0.130294709869694;1;19;"Rejection";"Sim";1
"1885241";0.929419788462138;0.111952660985109;1;19;"Rejection";"Obs";1
"195";0.833857685967521;0.0538169476511119;5;20;"Rejection";"Sim";5
"450385";0.837126236983812;0.0564638588669892;5;20;"Rejection";"Obs";5
"196";0.835288768892348;0.05135499441476;4;20;"Rejection";"Sim";4
"450384";0.837126236983812;0.0564638588669892;4;20;"Rejection";"Obs";4
"197";0.837502705433346;0.047329085449478;3;20;"Rejection";"Sim";3
"450383";0.837126236983812;0.0564638588669892;3;20;"Rejection";"Obs";3
"198";0.837032024496438;0.0474052983119454;2;20;"Rejection";"Sim";2
"450382";0.837126236983812;0.0564638588669892;2;20;"Rejection";"Obs";2
"199";0.83433617180929;0.0463592561951856;1;20;"Rejection";"Sim";1
"450381";0.837126236983812;0.0564638588669892;1;20;"Rejection";"Obs";1
"1100";0.466340752204502;0.91465501525648;5;21;"Rejection";"Sim";5
"1341800";0.467042338499523;0.919668243888979;5;21;"Rejection";"Obs";5
"1101";0.468281324118423;0.914146230328556;4;21;"Rejection";"Sim";4
"1341799";0.467042338499523;0.919668243888979;4;21;"Rejection";"Obs";4
"1102";0.461055160908529;0.917420610335979;3;21;"Rejection";"Sim";3
"1341798";0.467042338499523;0.919668243888979;3;21;"Rejection";"Obs";3
"1103";0.452475527530328;0.9171998185742;2;21;"Rejection";"Sim";2
"1341797";0.467042338499523;0.919668243888979;2;21;"Rejection";"Obs";2
"1104";0.471318282257057;0.913993466261669;1;21;"Rejection";"Sim";1
"1341796";0.467042338499523;0.919668243888979;1;21;"Rejection";"Obs";1
"1105";0.838617205369913;0.127441530775353;5;22;"Rejection";"Sim";5
"3694395";0.849686009290874;0.12196295620437;5;22;"Rejection";"Obs";5
"1106";0.838343674297247;0.127646423924471;4;22;"Rejection";"Sim";4
"3694394";0.849686009290874;0.12196295620437;4;22;"Rejection";"Obs";4
"1107";0.837069503804114;0.128543835103738;3;22;"Rejection";"Sim";3
"3694393";0.849686009290874;0.12196295620437;3;22;"Rejection";"Obs";3
"1108";0.837418024335698;0.127952830607723;2;22;"Rejection";"Sim";2
"3694392";0.849686009290874;0.12196295620437;2;22;"Rejection";"Obs";2
"1109";0.821895583637173;0.15741984371203;1;22;"Rejection";"Sim";1
"3694391";0.849686009290874;0.12196295620437;1;22;"Rejection";"Obs";1
"1110";0.664222456498371;0.592055571435388;5;23;"Rejection";"Sim";5
"4079130";0.676519020765602;0.583110755726785;5;23;"Rejection";"Obs";5
"1111";0.668259666635428;0.588263320287045;4;23;"Rejection";"Sim";4
"4079129";0.676519020765602;0.583110755726785;4;23;"Rejection";"Obs";4
"1112";0.657148115172123;0.602527226642539;3;23;"Rejection";"Sim";3
"4079128";0.676519020765602;0.583110755726785;3;23;"Rejection";"Obs";3
"1113";0.66524605543206;0.592719122609414;2;23;"Rejection";"Sim";2
"4079127";0.676519020765602;0.583110755726785;2;23;"Rejection";"Obs";2
"1114";0.660557599153674;0.59677676392205;1;23;"Rejection";"Sim";1
"4079126";0.676519020765602;0.583110755726785;1;23;"Rejection";"Obs";1
"1115";0.916151803212618;0.235048473740132;5;24;"Rejection";"Sim";5
"266205";0.97005100926685;0.127513791924719;5;24;"Rejection";"Obs";5
"1116";0.909557425697576;0.24482836923067;4;24;"Rejection";"Sim";4
"266204";0.97005100926685;0.127513791924719;4;24;"Rejection";"Obs";4
"1117";0.929079782906989;0.217600016905391;3;24;"Rejection";"Sim";3
"266203";0.97005100926685;0.127513791924719;3;24;"Rejection";"Obs";3
"1118";0.915242139927132;0.239935441289977;2;24;"Rejection";"Sim";2
"266202";0.97005100926685;0.127513791924719;2;24;"Rejection";"Obs";2
"1119";0.916762605312361;0.234295775127887;1;24;"Rejection";"Sim";1
"266201";0.97005100926685;0.127513791924719;1;24;"Rejection";"Obs";1
"1120";0.759983437311216;0.111766313852036;5;25;"Rejection";"Sim";5
"1844585";0.784338803706382;0.0320213373692314;5;25;"Rejection";"Obs";5
"1121";0.761252386679681;0.107968726471604;4;25;"Rejection";"Sim";4
"1844584";0.784338803706382;0.0320213373692314;4;25;"Rejection";"Obs";4
"1122";0.759875066679975;0.111065371605352;3;25;"Rejection";"Sim";3
"1844583";0.784338803706382;0.0320213373692314;3;25;"Rejection";"Obs";3
"1123";0.76448523320762;0.099200447152762;2;25;"Rejection";"Sim";2
"1844582";0.784338803706382;0.0320213373692314;2;25;"Rejection";"Obs";2
"1124";0.756644998225645;0.115529969158507;1;25;"Rejection";"Sim";1
"1844581";0.784338803706382;0.0320213373692314;1;25;"Rejection";"Obs";1
"1125";0.611419108190073;0.823981272950133;5;26;"Rejection";"Sim";5
"4587725";0.605289205731629;0.822360374546006;5;26;"Rejection";"Obs";5
"1126";0.604998451890764;0.826367343650123;4;26;"Rejection";"Sim";4
"4587724";0.605289205731629;0.822360374546006;4;26;"Rejection";"Obs";4
"1127";0.637058525941452;0.812488122666583;3;26;"Rejection";"Sim";3
"4587723";0.605289205731629;0.822360374546006;3;26;"Rejection";"Obs";3
"1128";0.633364112843042;0.81717267409802;2;26;"Rejection";"Sim";2
"4587722";0.605289205731629;0.822360374546006;2;26;"Rejection";"Obs";2
"1129";0.642386943148215;0.811796299147553;1;26;"Rejection";"Sim";1
"4587721";0.605289205731629;0.822360374546006;1;26;"Rejection";"Obs";1
"1130";0.767769277749608;0.523376189067117;5;27;"Rejection";"Sim";5
"4659650";0.781996582932708;0.509350714902605;5;27;"Rejection";"Obs";5
"1131";0.770142271284905;0.520062658073861;4;27;"Rejection";"Sim";4
"4659649";0.781996582932708;0.509350714902605;4;27;"Rejection";"Obs";4
"1132";0.772381693681679;0.52013413818742;3;27;"Rejection";"Sim";3
"4659648";0.781996582932708;0.509350714902605;3;27;"Rejection";"Obs";3
"1133";0.785643677371747;0.507445011243805;2;27;"Rejection";"Sim";2
"4659647";0.781996582932708;0.509350714902605;2;27;"Rejection";"Obs";2
"1134";0.7815006137456;0.511663972385294;1;27;"Rejection";"Sim";1
"4659646";0.781996582932708;0.509350714902605;1;27;"Rejection";"Obs";1
"1135";0.839990555760393;0.0602500958234546;5;28;"Rejection";"Sim";5
"4951620";0.846723368676917;0.0419514861927969;5;28;"Rejection";"Obs";5
"1136";0.839204753013366;0.0624635678475635;4;28;"Rejection";"Sim";4
"4951619";0.846723368676917;0.0419514861927969;4;28;"Rejection";"Obs";4
"1137";0.843765067218385;0.052392134468325;3;28;"Rejection";"Sim";3
"4951618";0.846723368676917;0.0419514861927969;3;28;"Rejection";"Obs";3
"1138";0.846216353669435;0.050018629261948;2;28;"Rejection";"Sim";2
"4951617";0.846723368676917;0.0419514861927969;2;28;"Rejection";"Obs";2
"1139";0.838625085458135;0.0570419015176068;1;28;"Rejection";"Sim";1
"4951616";0.846723368676917;0.0419514861927969;1;28;"Rejection";"Obs";1
"1140";0.948970043657091;0.102562438756213;5;29;"Rejection";"Sim";5
"3535080";0.957560085567078;0.121414049024883;5;29;"Rejection";"Obs";5
"1141";0.950339409590232;0.101913485878018;4;29;"Rejection";"Sim";4
"3535079";0.957560085567078;0.121414049024883;4;29;"Rejection";"Obs";4
"1142";0.955710254263662;0.0906235793353206;3;29;"Rejection";"Sim";3
"3535078";0.957560085567078;0.121414049024883;3;29;"Rejection";"Obs";3
"1143";0.954469969505711;0.08898384983588;2;29;"Rejection";"Sim";2
"3535077";0.957560085567078;0.121414049024883;2;29;"Rejection";"Obs";2
"1144";0.920056665769449;0.14725083075219;1;29;"Rejection";"Sim";1
"3535076";0.957560085567078;0.121414049024883;1;29;"Rejection";"Obs";1
"1145";0.616153421577429;0.84637170169853;5;30;"Rejection";"Sim";5
"2258715";0.608286277603835;0.838333918447247;5;30;"Rejection";"Obs";5
"1146";0.610969537811878;0.848705788926239;4;30;"Rejection";"Sim";4
"2258714";0.608286277603835;0.838333918447247;4;30;"Rejection";"Obs";4
"1147";0.60083103558558;0.852265155881642;3;30;"Rejection";"Sim";3
"2258713";0.608286277603835;0.838333918447247;3;30;"Rejection";"Obs";3
"1148";0.574255787836601;0.861612936482961;2;30;"Rejection";"Sim";2
"2258712";0.608286277603835;0.838333918447247;2;30;"Rejection";"Obs";2
"1149";0.610365390287743;0.848283998685274;1;30;"Rejection";"Sim";1
"2258711";0.608286277603835;0.838333918447247;1;30;"Rejection";"Obs";1
"1150";0.835378909007538;0.246560503209572;5;31;"Rejection";"Sim";5
"4972565";0.853318982270191;0.215297268351786;5;31;"Rejection";"Obs";5
"1151";0.835544420385401;0.245436183894071;4;31;"Rejection";"Sim";4
"4972564";0.853318982270191;0.215297268351786;4;31;"Rejection";"Obs";4
"1152";0.827187155035793;0.260104955227297;3;31;"Rejection";"Sim";3
"4972563";0.853318982270191;0.215297268351786;3;31;"Rejection";"Obs";3
"1153";0.829072843247406;0.256800043749147;2;31;"Rejection";"Sim";2
"4972562";0.853318982270191;0.215297268351786;2;31;"Rejection";"Obs";2
"1154";0.83754162747118;0.246721942774796;1;31;"Rejection";"Sim";1
"4972561";0.853318982270191;0.215297268351786;1;31;"Rejection";"Obs";1
"1155";0.981778806411187;0.395325696989695;5;32;"Rejection";"Sim";5
"5458090";0.98957737770916;0.361043427167455;5;32;"Rejection";"Obs";5
"1156";0.981877000843425;0.39430993732078;4;32;"Rejection";"Sim";4
"5458089";0.98957737770916;0.361043427167455;4;32;"Rejection";"Obs";4
