"rho_p";"nb_neigh";"clustering";"skewness";"variance";"moran_I";"Spectral_ratio";"PLR";"PL_expo";"CV_PSD";"fmax_PSD";"Resolution";"ID"
"28";0.653037190082645;2.75333896872358;1.43893554428868;-0.86479739487926;0.0288813218139028;0.323222792161911;2.63391271576526;1;1.27040292570278;2.80075548350981;-0.230297176761548;"/2";106
"38";0.652425929400972;2.09924985574149;1.16863773375085;-1.53493579074793;0.00928355854403165;0.270441362722039;1.37718656456633;NA;NA;1.41247084695427;-0.0908913589533144;"/3";106
"19";0.639318181818182;3.50858029279643;1.70256449208543;-0.492886530687015;0.095731853505291;0.376732024356424;5.01408906031007;0.529431488987219;1.27518569777605;7.55271965758418;-0.595773016534769;"No change";107
"29";0.639318181818182;2.78397212543554;1.47123174142315;-0.822848724793599;0.031461979378646;0.48933489648658;3.24344699314466;0.847326390036343;1.36127877324432;4.48966747812905;-0.320842946658624;"/2";107
"39";0.640645524488647;2.37136204889406;1.30874347318495;-1.5743731420476;0.0128752242551504;0.531633470402184;1.92055291800998;NA;NA;1.72664614354889;-0.105172880794718;"/3";107
"110";0.646012396694215;3.55230754469569;1.70453399036551;-0.500586651942795;0.103294847316509;0.372947209757961;4.98837447997907;0.728004362957027;1.29910237143835;7.05579286369855;-0.593750695420095;"No change";108
"210";0.646012396694215;2.915738740236;1.50705980033191;-0.893310703333938;0.0366788949326565;0.399447871152592;3.14468416134276;0.879790757466283;1.43723191109775;4.59985285074551;-0.261794179063175;"/2";108
"310";0.646233397969183;2.46396633350868;1.3383669255149;-1.41468842107517;0.0129397237391545;0.310911352630487;1.59941740085892;NA;NA;NA;-0.112915935071317;"/3";108
"111";0.652438016528926;3.49160808157578;1.6774015365759;-0.524292112842688;0.0866931695198741;0.315957285309588;4.73592868455189;0.777049245994815;1.33256191390899;6.84089084092119;-0.459480677819843;"No change";109
"211";0.652438016528926;2.71860424943859;1.42715774313881;-1.05196122636202;0.0267452762750795;0.405089068360182;2.78057858883697;1;1.51821507638475;4.64933825595041;-0.218402740621101;"/2";109
"311";0.651216613498467;2.23384253819036;1.23263616640519;-2.24856899154654;0.0102449666513779;0.410404232811488;1.61587956094276;1;1.35066287878078;2.22979287745866;-0.086380381445351;"/3";109
